Name,O_ana_QVM_M1987x1x101,O_ana_QVM_M1986x1x47,O_ana_QVM_M1968x1x36,O_ana_MV_C29881,O_ana_MV_C29879,O_ana_MV_C29873,O_ana_MV_C29872,O_ana_MV_C29771,O_ana_QVM_M1987x1x108,O_ana_MV_C29680,O_ana_MV_C29678,O_ana_MV_C28827,O_ana_MV_C28818,O_ana_MV_C24057,O_ana_MV_C17256,O_ana_MV_C17040,O_ana_MV_C17031,O_ana_MV_C17028,O_ana_MV_C16999,O_ana_MV_C16998,O_ana_MV_C16997,O_ana_MV_C16989,O_ana_MV_C7238,O_ana_MV_C2935,O_ana_MV_C2502,O_ana_MV_C2414,O_ana_MV_C2413,O_ana_QVM_M1986x1x38,O_ana_MV_C1435,O_ana_MV_C24058,O_ana_QVM_M1988x1x34,O_ana_ANWC_M3707,O_ana_ANWC_M18044,O_ana_ANWC_M3704,O_ana_ANWC_M3700,O_ana_ANWC_M3699,O_ana_ANWC_M3696,O_ana_ANWC_M3730,O_ana_ANWC_M1274,O_ana_QM_JM6919,O_ana_ANWC_M3560,O_ana_QM_JM18104,O_ana_QM_JM20596,O_ana_QM_JM19983,O_ana_QVM_M1964x1x246,O_ana_MV_C17000,O_ana_MV_C7239,O_ana_ANWC_M15484,O_ana_QVM_M1987x1x98,O_ana_ANWC_M18089,O_ana_SAM_M1629,O_ana_SAM_M6298,O_ana_SAM_M14097,O_ana_QVM_M1965x1x164,O_ana_MV_C11286,O_ana_QVM_M1993x1x223,O_ana_MV_C29877,O_ana_AM_M11237,O_ana_SAM_M9678,O_ana_MV_C17253,O_ana_QVM_M1963x1x245,O_ana_ANWC_M3703,O_ana_AM_M8625,O_ana_QM_JM8106,O_ana_MV_C2459,O_ana_AM_M8258,O_ana_QM_J20672_ERR,O_ana_QVM_M1988x1x141_ERR,O_ana_QVM_M1987x1x105_ERR,O_ana_QM_JM1086_ERR,O_ana_MV_C29796_ERR,O_ana_ANWC_M3708_ERR,O_ana_MV_C2459_ERR,O_ana_ANWC_M1279_ERR,O_ana_AM_M8258_ERR,O_ana_SAM_M6043_ERR,O_ana_QVM_M1987x1x105,O_ana_ANWC_M3708,O_ana_QM_J20672,O_ana_QVM_M1988x1x141,O_ana_QM_JM1086,O_ana_MV_C29796,O_ana_ANWC_M1279,O_ana_SAM_M6043
X PAT_R_do 9,34.22833557,10.83388367,12.54431763,26.41345825,7.732688141,1.84978199,5.094146347,10.32849655,20.07054291,14.03141937,18.93577271,17.93577881,14.78620148,8.470074463,21.77664337,24.08109741,23.7174469,10.1871315,20.17593842,3.353696442,4.451045227,26.8755127,26.37660522,4.766354752,11.18061066,18.69203796,22.05140228,22.34639587,7.167655182,1.823915863,9.188935089,24.678125,15.99725647,19.96618195,27.00535278,21.05214996,17.58415985,18.15020142,23.16863708,11.08032455,19.80523834,49.86252136,32.47083435,9.889485931,13.61738892,10.58169098,7.320207977,16.47430878,9.032546234,15.35635071,15.10919647,25.23908539,15.85415955,8.434590149,12.81300507,23.90753021,21.50453491,17.68572388,8.208929443,15.86174316,15.42558136,15.78122559,21.36982117,24.35419617,17.60474548,13.55986786,39.22044373,15.04876404,8.453482819,35.82869568,-1.463225555,23.78445587,17.78959656,15.24484406,13.78704834,22.67558136,8.674881744,24.44382935,38.86502991,15.07438354,36.55956421,-1.479808998,15.22286072,23.72850494
Y PAT_R_do 9,-28.28068848,-95.65170898,-32.61052246,-21.12074585,-94.89486084,-35.69783325,-33.23811646,-35.84769897,-25.94379883,-105.1459473,-94.54732666,-103.2844971,-85.91738281,-27.43485413,-101.1032166,-104.2476929,-99.11886597,-34.65959167,-101.9252502,-25.57572021,-102.6045776,-18.69936981,-40.26256409,-37.51445313,-31.99061584,-96.72119751,-100.6496582,-29.87937012,-41.96293335,-36.23514404,-99.53247681,-99.41370239,-51.61253052,-96.86434937,-29.13105774,-52.8387146,-97.18054199,-101.6069641,-17.22592926,-15.79095612,-98.96395874,-7.390820313,4.927416611,-49.34277954,-101.5224243,-34.4859314,-25.95838623,-17.91001129,-101.1253235,-38.16791382,-26.09038696,-21.8825592,-28.76906738,-99.5590271,-105.9509888,-36.32858276,-99.78239746,-37.2412262,-22.89235382,-101.3302917,-96.92045288,-99.64365234,-96.04277954,-38.57823792,-97.60390625,-33.67138977,-5.370264053,-29.21743774,-100.6064331,13.91800232,-25.9157074,-99.42749023,-97.84080811,-41.7552887,-34.17869263,-24.30299988,-99.79678955,-99.64349976,-5.093781281,-28.45535889,13.6779007,-24.67590332,-41.73675232,-24.03953857
Z PAT_R_do 9,17.18506622,10.89091187,15.55738678,-3.493167114,7.391399384,-10.78223419,-7.655718231,21.1083252,3.191093826,-1.90795784,11.70839691,16.9369278,11.37493134,28.89554749,7.288896942,3.172657204,10.86159515,2.695377541,11.63521194,11.42848053,-20.35157471,-10.0386261,-3.101223946,13.04935608,1.245543671,15.66670227,1.65273571,28.49203491,26.07245789,-2.589735985,13.72110291,45.45446167,65.51342163,47.58672485,66.60544434,52.19640503,48.53693542,45.0879425,54.11763916,38.69056091,43.75134583,38.44853821,25.97596436,27.30800476,2.7816185,24.00162659,-4.615327835,16.01028748,17.87434387,8.30001297,57.7015686,65.75731812,61.48401489,13.60247803,11.2648468,6.882315063,14.6262085,8.593353271,59.33049927,12.47658005,0.133349347,44.31159363,21.66524658,15.48462067,9.680189514,7.770804596,37.83189697,29.27622986,17.07866364,41.46636963,2.715885162,44.9354248,9.437633514,7.090808105,7.799597168,63.97560425,17.11225128,44.76499939,37.80159607,29.20506897,42.06282349,2.642756271,7.04370575,64.02266235
X PAT_R_do 8,45.39062805,15.42076874,26.15415649,18.68764191,9.029285431,0.51493535,-3.869229889,21.20613556,16.49991608,3.818906021,7.266863251,13.71898193,22.34345245,17.80437012,27.94309082,17.03096008,32.84422913,10.85578537,30.0353241,15.17361603,17.63500061,38.21372681,39.6984375,5.936183548,4.929181671,6.770040131,15.48859558,24.48106232,19.41893616,2.182219124,3.293173218,35.56902466,6.701381683,30.1640686,35.51010742,12.47758179,30.348172,30.16957703,22.05402374,22.32913208,32.1539978,48.52712097,30.20913391,2.708823776,26.42146912,21.96728058,0.727373219,23.52583618,21.48010406,7.780757904,28.00046997,36.79067383,29.6302063,5.17719574,4.006330872,16.59839478,31.62762756,4.903181839,21.80553131,15.50227661,29.01971741,27.58752136,7.636637878,16.49620972,18.12498474,0.082116246,40.1358551,26.78623047,3.914490128,45.01511536,-3.026746941,33.3818573,17.9950882,6.498285675,0.204975677,36.07667847,4.540575409,33.45214233,39.93750916,26.98029785,45.42201538,-3.187573051,6.519837952,35.04283447
Y PAT_R_do 8,-30.23462524,-96.04241943,-32.90782471,-21.18743896,-93.7010498,-37.40684204,-31.65287781,-35.06369324,-27.24130249,-103.6948853,-94.92119751,-101.0357178,-85.3968689,-27.5868988,-101.0924133,-103.8091064,-100.5362366,-32.03982544,-99.877948,-24.82255249,-102.6819946,-18.08081665,-41.9337738,-39.06400757,-32.12130432,-95.35742188,-99.6263855,-28.38969116,-41.69711914,-34.34818726,-100.0040955,-99.15857544,-50.12245483,-97.55532837,-34.93617249,-52.7883667,-97.64776001,-99.74121704,-5.432542419,-10.71172562,-99.84276123,-0.985054111,11.78957672,-45.3462677,-102.1799255,-35.78712769,-26.09482422,-18.16495361,-100.584314,-37.97172241,-24.4906311,-20.73493958,-27.85033569,-97.69553833,-102.1321411,-38.44415588,-99.07566528,-39.52142639,-20.10763702,-100.2874878,-95.08094482,-99.22937622,-96.08622437,-40.66123047,-95.8564209,-35.0791748,1.127753735,-27.00477905,-100.9955627,11.23696213,-23.79666748,-98.75194092,-96.3331665,-41.44095459,-35.07182312,-23.75572052,-100.4924011,-98.80631714,1.312523842,-26.95281677,10.97010727,-23.26665955,-41.51088257,-23.28447571
Z PAT_R_do 8,9.69720993,-3.923178101,17.72499695,-15.6096756,-6.787202454,2.745391464,2.246835518,27.48356934,-9.191496277,6.922001648,18.27405853,29.26446228,23.36238556,40.19138184,18.92297668,15.46274567,21.39773254,16.69249115,22.15889435,19.30408325,-29.61020203,-16.97358246,-4.810242081,26.89954224,14.57870331,21.779953,13.40786896,14.23412933,34.30794983,11.91002655,0.170122182,35.48308105,75.80205078,38.5288147,55.76112061,63.56348877,40.62863464,38.34900818,46.9447052,33.76174011,37.50107117,26.29312134,14.81487732,36.88216553,8.967372894,33.05479126,7.037728882,4.759774399,11.78749313,18.21765289,55.07810669,58.92401733,58.27921143,-0.288941574,21.46300201,-5.581860352,24.64020996,12.75570221,57.60654297,26.9096344,4.730981445,36.9578949,21.22172699,26.83094482,23.70129395,9.015201569,27.48801575,22.14182587,4.857342911,32.0211731,15.24431763,35.54191895,23.12343445,18.68748932,9.065252686,59.41930542,5.306468201,35.30260315,26.97410278,22.10892639,31.85415649,15.25605469,18.49562073,60.02320557
X PAT_R_do 7,38.74387817,15.40050354,19.51587067,20.44536438,10.82666473,3.141328049,2.458413315,16.99859467,16.11161194,7.50721283,12.27795029,13.84008026,16.85249481,14.84085388,22.07663574,18.13762054,26.35844116,12.04270248,23.05466919,10.73072052,11.58892593,30.22076416,32.5364563,7.359702301,10.11714478,12.95869904,17.03515625,21.63072052,14.2272995,4.047251511,9.159024048,31.37636719,8.475845337,26.21535645,30.27723694,13.60926971,24.98890228,24.75739288,19.87290649,15.06039581,26.76599731,46.0755249,28.71278381,3.850876236,18.85253296,17.85397949,6.308203125,18.37365875,15.90112762,9.153917694,20.72172546,28.88692322,21.41850128,9.218955994,6.885747528,18.21515198,25.11332703,12.31129227,14.04544067,13.29071198,21.06781464,22.7591156,14.87855225,17.51943207,15.16322937,7.278652954,36.72719727,19.79801941,8.977095795,38.09972229,0.148187959,30.22138977,15.23214874,7.598137665,7.432400513,28.26809082,9.060375214,30.50419006,36.55935059,19.88744659,38.63343201,0.114489794,7.656264496,28.81244507
Y PAT_R_do 7,-32.69023132,-92.2144043,-36.40622559,-24.19720917,-90.7319519,-39.69727173,-35.73137207,-38.38650208,-30.19349976,-101.83526,-90.60961914,-99.83427124,-81.92843018,-30.92788696,-97.38938599,-100.6190125,-96.06708374,-37.48399658,-97.82687378,-28.90709839,-98.67689819,-21.96113434,-44.57383423,-40.83686523,-35.22957458,-92.21623535,-96.28513794,-32.79492188,-44.64776306,-37.89319458,-95.63347168,-95.48186035,-51.2930603,-93.850354,-28.52560425,-53.45891724,-94.03815918,-97.50567627,-10.35052795,-10.12457123,-96.23190308,-1.890877914,10.06529083,-46.14515076,-98.11941528,-37.92737427,-29.03285828,-14.90163116,-97.08321533,-38.3405426,-21.19293976,-17.6512146,-23.66523895,-95.13497925,-101.1204651,-40.43659058,-96.58079834,-40.99293518,-17.56917114,-97.37947998,-91.80812988,-96.0512146,-92.60318604,-38.85079346,-93.71879272,-37.03428955,-0.053403056,-31.63417053,-96.84959717,14.59122467,-28.06977234,-95.48010254,-93.88007813,-42.0709137,-37.14410706,-19.79111786,-96.19777832,-95.68453369,0.211835861,-31.34574585,14.53042908,-26.96674194,-42.05344543,-19.24945831
Z PAT_R_do 7,12.16565018,4.494952774,14.47089691,-7.784114838,0.615015984,-4.006350708,-0.941283035,22.07615051,-1.873219299,0.47519393,13.14450836,21.62762604,18.03414764,33.17840881,13.93560181,6.93351593,17.38315277,10.09852676,18.30346985,13.01658173,-22.94220734,-15.67374878,-6.119859695,19.91498871,8.781481171,16.15117188,5.55839653,21.13762817,28.22804565,4.599991226,6.286006546,42.94193726,67.87269897,44.45934753,59.29570923,54.90101929,46.76421814,43.43390503,52.46705322,35.75971375,42.52971191,34.09386902,21.76191864,29.58758545,7.368965912,26.1874115,2.285996819,9.201198578,17.223703,11.26257782,55.459552,60.80784912,59.01832275,6.752567291,14.31068878,1.929430008,20.87835541,12.62263184,57.71437988,19.27173157,4.274094772,42.58088379,19.08349152,19.22872925,15.9004715,10.76157455,33.69521179,23.72676392,10.54661102,34.15730591,9.339283752,42.84089966,15.56767731,10.19204941,10.73960724,61.01220093,10.75535889,42.57353516,33.50386047,23.64435272,34.24486694,9.256428528,10.08854218,60.52453613
X PAT_R_do 6,33.93789978,10.77765274,12.53440247,25.95898438,7.634325409,1.882696342,4.028502274,10.72272415,19.69544983,13.47223206,19.5842514,17.5863739,15.42179565,8.474753571,21.6231842,23.46406555,24.77165985,8.090569305,19.88786163,3.6425354,3.440111542,26.16815491,25.61383667,5.159913635,11.32159348,21.42122192,22.85969696,23.53357697,7.572954559,1.847192383,9.49095993,24.20098572,10.5588974,19.63935394,21.57646637,13.99760742,17.75106506,17.69271545,14.7286911,6.858037567,19.60985107,40.17918091,23.79386902,7.281536865,13.94439545,10.83366394,8.817635345,10.24717407,8.910095215,9.859211731,13.18225098,19.95707703,12.99131622,9.238780212,12.36968765,23.20446777,21.89106903,18.29216156,6.248464966,15.8304657,14.42768097,15.80833588,21.52666473,18.98366699,17.33115082,13.88218842,30.52486572,16.21991425,9.804192352,28.98933716,-1.921409607,23.74400177,17.36038971,7.964612579,13.9358078,19.48439636,9.711761475,23.99567871,30.30452271,16.17211914,29.31042175,-1.815873909,7.964466858,19.98216248
