Genus, Species,Museum,CatNum,Sex,State,Locality Name,Latitude,Longitude,Notes,Weight (g),Total (mm),Tail (mm),Hindfoot (mm)
Ornithorhynchus,anatinus,QM,J20672,N/A,Queensland,Mt Molloy to Rifle Ck,-16.666,145.333,,,,,
Ornithorhynchus,anatinus,QM,JM1086,N/A,Queensland,Fleays Wildlife Sanctuary (in captivity),-28.108,153.444,Captive Bread,,,,
Ornithorhynchus,anatinus,QM,JM18104,Male,Queensland,"Anstead, 100 Layfield Road, in Pullen Pullen Creek",-27.546,152.885,Severe drought period,,,,
Ornithorhynchus,anatinus,QM,JM19983,Male,Queensland,19 Richards road Camp Mountain via Samford,-27.392,151.864,,,,,
Ornithorhynchus,anatinus,QM,JM20596,N/A,Queensland,Mary River via Maryborough,-25.5,152.85,,,,,
Ornithorhynchus,anatinus,QM,JM6919,N/A,Queensland,"Ravensbourne, via Crows Nest",-27.366,152.166,,,,,
Ornithorhynchus,anatinus,QM,JM8106,N/A,Queensland,North Pine Dam,-27.25,152.9,Mount to Townsville. Pes:34,1062,345,98,42
Ornithorhynchus,anatinus,AM,M8258,Female,New South Wales,"Kangaroo R, 4 miles E of Kangaroo Valley",-33.733,150.616,,,,,
Ornithorhynchus,anatinus,AM,M8625,Male,New South Wales,"Blacktown, 1 mile N of Bathurst",-33.4,149.566,,,,,
Ornithorhynchus,anatinus,AM,M11237,Female,New South Wales,"Lake Jindabyne, Snowy R",-36.4,148.633,,,,,
Ornithorhynchus,anatinus,MV,C1435,N/A,Victoria,Kew,-37.8,145.03,,,,,
Ornithorhynchus,anatinus,MV,C2413,Male,Victoria,Yarrawonga Weir,-36,146,,,,,
Ornithorhynchus,anatinus,MV,C2414,Male,Victoria,Yarrawonga Weir,-36,146,,,,,
Ornithorhynchus,anatinus,MV,C2459,N/A,Victoria,Yarrawonga Weir,-36,146,,,,,
Ornithorhynchus,anatinus,MV,C2502,N/A,Victoria,Wangaratta,-36.35,146.32,,,,,
Ornithorhynchus,anatinus,MV,C2935,N/A,Victoria,Kallista,-37.88,145.37,,,,,
Ornithorhynchus,anatinus,MV,C7238,Male,Victoria,"Mansfield,Delatite River",-37.03,146.08,,1134,475,118,55
Ornithorhynchus,anatinus,MV,C7239,Male,Victoria,"Mansfield,Delatite River",-37.03,146.08,,1047.8,450,105,50
Ornithorhynchus,anatinus,MV,C11286,Female,Victoria,11.2 km downstream of Mitta River from Eskdale,-36.47,147.25,,1253.3,460,126,60
Ornithorhynchus,anatinus,MV,C16989,Male,Victoria,"Goulburn River,22.4 km north of Shepparton",-36.2,145.25,,2595,610,115,
Ornithorhynchus,anatinus,MV,C16997,Male,Victoria,"Mitta Mitta arm,Lake Hume,2.4 km from Bethanga Road",-36.13,147.03,,2400,540,150,69
Ornithorhynchus,anatinus,MV,C16998,Male,Victoria,Thomson River,-38.12,147.07,,1929,505,130,
