Name,O_ana_MV_C2459,O_ana_AM_M8258,O_ana_QM_J20672_ERR,O_ana_QVM_M1988x1x141_ERR,O_ana_QVM_M1987x1x105_ERR,O_ana_QM_JM1086_ERR,O_ana_MV_C29796_ERR,O_ana_ANWC_M3708_ERR,O_ana_MV_C2459_ERR,O_ana_ANWC_M1279_ERR,O_ana_AM_M8258_ERR,O_ana_SAM_M6043_ERR,O_ana_QVM_M1987x1x105,O_ana_ANWC_M3708,O_ana_QM_J20672,O_ana_QVM_M1988x1x141,O_ana_QM_JM1086,O_ana_MV_C29796,O_ana_ANWC_M1279,O_ana_SAM_M6043
X PAT_R_do 9,17.60474548,13.55986786,39.22044373,15.04876404,8.453482819,35.82869568,-1.463225555,23.78445587,17.78959656,15.24484406,13.78704834,22.67558136,8.674881744,24.44382935,38.86502991,15.07438354,36.55956421,-1.479808998,15.22286072,23.72850494
Y PAT_R_do 9,-97.60390625,-33.67138977,-5.370264053,-29.21743774,-100.6064331,13.91800232,-25.9157074,-99.42749023,-97.84080811,-41.7552887,-34.17869263,-24.30299988,-99.79678955,-99.64349976,-5.093781281,-28.45535889,13.6779007,-24.67590332,-41.73675232,-24.03953857
Z PAT_R_do 9,9.680189514,7.770804596,37.83189697,29.27622986,17.07866364,41.46636963,2.715885162,44.9354248,9.437633514,7.090808105,7.799597168,63.97560425,17.11225128,44.76499939,37.80159607,29.20506897,42.06282349,2.642756271,7.04370575,64.02266235
X PAT_R_do 8,18.12498474,0.082116246,40.1358551,26.78623047,3.914490128,45.01511536,-3.026746941,33.3818573,17.9950882,6.498285675,0.204975677,36.07667847,4.540575409,33.45214233,39.93750916,26.98029785,45.42201538,-3.187573051,6.519837952,35.04283447
Y PAT_R_do 8,-95.8564209,-35.0791748,1.127753735,-27.00477905,-100.9955627,11.23696213,-23.79666748,-98.75194092,-96.3331665,-41.44095459,-35.07182312,-23.75572052,-100.4924011,-98.80631714,1.312523842,-26.95281677,10.97010727,-23.26665955,-41.51088257,-23.28447571
Z PAT_R_do 8,23.70129395,9.015201569,27.48801575,22.14182587,4.857342911,32.0211731,15.24431763,35.54191895,23.12343445,18.68748932,9.065252686,59.41930542,5.306468201,35.30260315,26.97410278,22.10892639,31.85415649,15.25605469,18.49562073,60.02320557
X PAT_R_do 7,15.16322937,7.278652954,36.72719727,19.79801941,8.977095795,38.09972229,0.148187959,30.22138977,15.23214874,7.598137665,7.432400513,28.26809082,9.060375214,30.50419006,36.55935059,19.88744659,38.63343201,0.114489794,7.656264496,28.81244507
Y PAT_R_do 7,-93.71879272,-37.03428955,-0.053403056,-31.63417053,-96.84959717,14.59122467,-28.06977234,-95.48010254,-93.88007813,-42.0709137,-37.14410706,-19.79111786,-96.19777832,-95.68453369,0.211835861,-31.34574585,14.53042908,-26.96674194,-42.05344543,-19.24945831
Z PAT_R_do 7,15.9004715,10.76157455,33.69521179,23.72676392,10.54661102,34.15730591,9.339283752,42.84089966,15.56767731,10.19204941,10.73960724,61.01220093,10.75535889,42.57353516,33.50386047,23.64435272,34.24486694,9.256428528,10.08854218,60.52453613
X PAT_R_do 6,17.33115082,13.88218842,30.52486572,16.21991425,9.804192352,28.98933716,-1.921409607,23.74400177,17.36038971,7.964612579,13.9358078,19.48439636,9.711761475,23.99567871,30.30452271,16.17211914,29.31042175,-1.815873909,7.964466858,19.98216248
Y PAT_R_do 6,-88.67930298,-41.96983948,-3.791378784,-38.15588074,-90.26160889,14.1126358,-34.0710083,-89.39191284,-88.75059204,-37.17078857,-42.16741333,-18.16304016,-89.48653564,-89.55233154,-3.665021133,-37.81183167,14.1810257,-33.2236145,-37.13016968,-17.76996765
